"CT"	"program"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"N"	"adj_r2"	"n_bp_levels"	"n_tissue_lv"	"n_strain_lv"	"tissue_value"	"strain_value"	"p_adj"
"Activated_microglia"	"Activated_microglia-1"	"BP_mean"	-0.238678743330596	0.143261678885562	-1.6660334095432	0.139647721800731	10	0.08057338161581	10	1	2	"HYP"	"mixed"	0.341692844223629
"Activated_microglia"	"Activated_microglia-2"	"BP_mean"	0.163342732503069	0.137507683280445	1.18788076859628	0.273617928496469	10	-0.0517194342669709	10	1	2	"HYP"	"mixed"	0.492512271293645
"Activated_microglia"	"Activated_microglia-3"	"BP_mean"	0.0922264770486729	0.0427497571989123	2.15735674519853	0.0678723198894334	10	0.354485016099998	10	1	2	"HYP"	"mixed"	0.24434035160196
"Activated_microglia"	"Activated_microglia-4"	"BP_mean"	-0.0073922271723341	0.0106159696119677	-0.696330852718402	0.508675823533381	10	-0.137898902426055	10	1	2	"HYP"	"mixed"	0.70432037104622
"Activated_microglia"	"Activated_microglia-5"	"BP_mean"	-0.0109442255679956	0.00680597449309268	-1.60803211635641	0.151863486321613	10	0.46001172321431	10	1	2	"HYP"	"mixed"	0.341692844223629
"Activated_microglia"	"Activated_microglia-6"	"BP_mean"	0.00144598651918358	0.00619288106978009	0.233491730729285	0.822060754429916	10	-0.223668693349643	10	1	2	"HYP"	"mixed"	0.858096039317314
"Adipocyte"	"Adipocyte-1"	"BP_mean"	0.00405184322255664	0.176342180108912	0.0229771641705583	0.982309755402508	12	0.784669464694033	12	1	4	"MSA"	"mixed"	0.982309755402508
"Adipocyte"	"Adipocyte-2"	"BP_mean"	0.0183216189501177	0.22313553819394	0.0821098203289936	0.936857916000239	12	0.436398582247052	12	1	4	"MSA"	"mixed"	0.958150141363881
"Adipocyte"	"Adipocyte-3"	"BP_mean"	0.0842106103153564	0.13400933848559	0.628393597543292	0.549691574731228	12	0.267447533355449	12	1	4	"MSA"	"mixed"	0.699496805883028
"Adipocyte"	"Adipocyte-4"	"BP_mean"	-0.0967694393587481	0.0709653208765262	-1.36361589243173	0.214917242523329	12	0.250493831512361	12	1	4	"MSA"	"mixed"	0.48356379567749
