dataset	resolution	cluster	markers_curated	note
mouse.LK.EC	wsnn_res.1	0		
mouse.LK.EC	wsnn_res.1	1		
mouse.LK.EC	wsnn_res.1	2		
mouse.LK.EC	wsnn_res.1	3		
mouse.LK.EC	wsnn_res.1	4		
mouse.LK.EC	wsnn_res.1	5		
mouse.LK.EC	wsnn_res.1	6		
mouse.LK.EC	wsnn_res.1	7	Lrp2, Slc34a1	remove
mouse.LK.EC	wsnn_res.1	8		
mouse.LK.EC	wsnn_res.1	9	Slc12a1	remove
mouse.LK.EC	wsnn_res.1	10		
mouse.LK.EC	wsnn_res.1	11		
mouse.LK.EC	wsnn_res.1	12		
mouse.LK.EC	wsnn_res.1	13		
mouse.LK.EC	wsnn_res.1	14	Aqp1	remove
mouse.LK.EC	wsnn_res.1	15		
mouse.LK.EC	wsnn_res.1	16		
mouse.LK.EC	wsnn_res.1	17		
mouse.LK.EC	wsnn_res.1	18	Lrp2	remove
mouse.LK.EC	wsnn_res.1	19		
mouse.LK.EC	wsnn_res.1	20		
mouse.LK.EC	wsnn_res.1	21		
mouse.LK.EC	wsnn_res.1	22		
mouse.LK.EC	wsnn_res.1	23		
mouse.LK.EC	wsnn_res.1	24		
mouse.LK.EC	wsnn_res.1	25		
rat.ss.LK.EC	wsnn_res.1	0		
rat.ss.LK.EC	wsnn_res.1	1	Lrp2, Slc34a1	remove
rat.ss.LK.EC	wsnn_res.1	2		
rat.ss.LK.EC	wsnn_res.1	3		
rat.ss.LK.EC	wsnn_res.1	4	Lrp2, Slc34a1	remove
rat.ss.LK.EC	wsnn_res.1	5	Slc12a1	remove
rat.ss.LK.EC	wsnn_res.1	6	Ptprc	remove
rat.ss.LK.EC	wsnn_res.1	7		
rat.ss.LK.EC	wsnn_res.1	8		
rat.ss.LK.EC	wsnn_res.1	9		
rat.ss.LK.EC	wsnn_res.1	10		
rat.ss.LK.EC	wsnn_res.1	11	Ptprc	remove
rat.ss.LK.EC	wsnn_res.1	12		
rat.ss.LK.EC	wsnn_res.1	13	Lrp2, Slc34a1	remove
rat.ss.LK.EC	wsnn_res.1	14		
rat.ss.LK.EC	wsnn_res.1	15		
rat.ss.LK.EC	wsnn_res.1	16		
rat.ss.LK.EC	wsnn_res.1	17	Lrp2, Slc34a1	remove
rat.sp.LK.EC	wsnn_res.1	0		
rat.sp.LK.EC	wsnn_res.1	1	Lrp2, Slc34a1	remove
rat.sp.LK.EC	wsnn_res.1	2		
rat.sp.LK.EC	wsnn_res.1	3	Lrp2, Slc34a1	remove
rat.sp.LK.EC	wsnn_res.1	4		
rat.sp.LK.EC	wsnn_res.1	5	Slc12a3	remove
rat.sp.LK.EC	wsnn_res.1	6	Slc12a1	remove
rat.sp.LK.EC	wsnn_res.1	7		
rat.sp.LK.EC	wsnn_res.1	8	Atp6v0d2	remove
rat.sp.LK.EC	wsnn_res.1	9	Atp6v0d2	remove
rat.sp.LK.EC	wsnn_res.1	10	Lrp2, Slc34a1	remove
rat.sp.LK.EC	wsnn_res.1	11		
rat.sp.LK.EC	wsnn_res.1	12		
rat.sp.LK.EC	wsnn_res.1	13	Slc8a1	remove
rat.sp.LK.EC	wsnn_res.1	14		
rat.sp.LK.EC	wsnn_res.1	15	Lrp2, Slc34a1	remove
rat.sp.LK.EC	wsnn_res.1	16	Aqp1	remove
mouse.LV.EC	RNA_snn_res.1.5	0		
mouse.LV.EC	RNA_snn_res.1.5	1		
mouse.LV.EC	RNA_snn_res.1.5	2	Myl2, Mb, Tnnt2	remove
mouse.LV.EC	RNA_snn_res.1.5	3		
