source	target	LR_pair	model	tissue	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2	value.SD-LS	value.SS-LS	value.SD-HS 3d	value.C57BL/6-Saline 3d	value.SS-HS 21d	value.C57BL/6-AngII 3d	value.SHR-10w	value.WKY-10w	value.C57BL/6-AngII 28d	value.SHR-26w	value.WKY-26w	value.SS-HS 3d	sxt	value	strain	treatment
EC7	EC7	PTPRM_PTPRM	AngII	HYP	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0	0.482286903079627	0	0	0	C57BL/6-AngII 28d	0.482286903079627	C57BL/6	AngII 28d
EC7	EC2	PTPRM_PTPRM	Spontaneous	MSA	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0.439905633777994	0	0.443086032952022	0.437692251426546	0	SHR-26w	0.443086032952022	SHR	26w
EC2	EC7	PTPRM_PTPRM	Spontaneous	MSA	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0.439905633777994	0	0.443086032952022	0.437692251426546	0	SHR-26w	0.443086032952022	SHR	26w
EC8	EC7	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.411044107195902	0	0	0	0.417619309444678	0	0	0	0	0	0	0.439998190566927	SS-HS 3d	0.439998190566927	SS	HS 3d
EC7	EC8	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.411044107195902	0	0	0	0.417619309444678	0	0	0	0	0	0	0.439998190566927	SS-HS 3d	0.439998190566927	SS	HS 3d
EC7	EC15	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.443964418247787	0	0	0	0.434706941333458	0	0	0	0	0	0	0	SS-HS 21d	0.434706941333458	SS	HS 21d
EC15	EC7	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.443964418247787	0	0	0	0.434706941333458	0	0	0	0	0	0	0	SS-HS 21d	0.434706941333458	SS	HS 21d
EC9	EC7	PTPRM_PTPRM	AngII	HYP	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0	0.426752046653181	0	0	0	C57BL/6-AngII 28d	0.426752046653181	C57BL/6	AngII 28d
EC7	EC9	PTPRM_PTPRM	AngII	HYP	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0	0.426752046653181	0	0	0	C57BL/6-AngII 28d	0.426752046653181	C57BL/6	AngII 28d
EC3	EC15	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.406509511785599	0	0	0	0.421488414293603	0	0	0	0	0	0	0	SS-HS 21d	0.421488414293603	SS	HS 21d
EC15	EC3	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.406509511785599	0	0	0	0.421488414293603	0	0	0	0	0	0	0	SS-HS 21d	0.421488414293603	SS	HS 21d
EC8	EC3	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.374495962746851	0	0	0	0.404548533567001	0	0	0	0	0	0	0.418100482032439	SS-HS 3d	0.418100482032439	SS	HS 3d
EC3	EC8	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.374495962746851	0	0	0	0.404548533567001	0	0	0	0	0	0	0.418100482032439	SS-HS 3d	0.418100482032439	SS	HS 3d
EC8	EC7	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.411044107195902	0	0	0	0.417619309444678	0	0	0	0	0	0	0.439998190566927	SS-HS 21d	0.417619309444678	SS	HS 21d
EC7	EC8	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.411044107195902	0	0	0	0.417619309444678	0	0	0	0	0	0	0.439998190566927	SS-HS 21d	0.417619309444678	SS	HS 21d
EC7	E/P transition cell	PTPRM_PTPRM	AngII	HYP	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0	0.416320109970696	0	0	0	C57BL/6-AngII 28d	0.416320109970696	C57BL/6	AngII 28d
E/P transition cell	EC7	PTPRM_PTPRM	AngII	HYP	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0	0	0	0	0	0	0	0.416320109970696	0	0	0	C57BL/6-AngII 28d	0.416320109970696	C57BL/6	AngII 28d
EC5	EC15	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.393387812677735	0	0	0	0.415357782720182	0	0	0	0	0	0	0	SS-HS 21d	0.415357782720182	SS	HS 21d
EC15	EC5	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.393387812677735	0	0	0	0.415357782720182	0	0	0	0	0	0	0	SS-HS 21d	0.415357782720182	SS	HS 21d
EC8	EC5	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.361777713342731	0	0	0	0.398494573044093	0	0	0	0	0	0	0.412455122323994	SS-HS 3d	0.412455122323994	SS	HS 3d
EC5	EC8	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.361777713342731	0	0	0	0.398494573044093	0	0	0	0	0	0	0.412455122323994	SS-HS 3d	0.412455122323994	SS	HS 3d
EC2	EC15	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.393670012301209	0	0	0	0.410784326061251	0	0	0	0	0	0	0	SS-HS 21d	0.410784326061251	SS	HS 21d
EC15	EC2	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.393670012301209	0	0	0	0.410784326061251	0	0	0	0	0	0	0	SS-HS 21d	0.410784326061251	SS	HS 21d
EC8	EC2	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.362050771029736	0	0	0	0.39398166903042	0	0	0	0	0	0	0.409793181375159	SS-HS 3d	0.409793181375159	SS	HS 3d
EC2	EC8	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.362050771029736	0	0	0	0.39398166903042	0	0	0	0	0	0	0.409793181375159	SS-HS 3d	0.409793181375159	SS	HS 3d
EC15	EC10	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.388290038465313	0	0	0	0.409445644518203	0	0	0	0	0	0	0	SS-HS 21d	0.409445644518203	SS	HS 21d
EC10	EC15	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.388290038465313	0	0	0	0.409445644518203	0	0	0	0	0	0	0	SS-HS 21d	0.409445644518203	SS	HS 21d
EC5	EC5	PTPRM_PTPRM	Salt-sensitive	LK	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0.416458874439526	0.408819018791994	0	0.417024049567283	0	0	0	0	0	0	0.376889825410466	SD-HS 3d	0.408819018791994	SD	HS 3d
EC8	EC10	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.356848595813364	0	0	0	0.392661253758426	0	0	0	0	0	0	0.407783079280632	SS-HS 3d	0.407783079280632	SS	HS 3d
EC10	EC8	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.356848595813364	0	0	0	0.392661253758426	0	0	0	0	0	0	0.407783079280632	SS-HS 3d	0.407783079280632	SS	HS 3d
EC8	EC3	PTPRM_PTPRM	Salt-sensitive	LV	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0.374495962746851	0	0	0	0.404548533567001	0	0	0	0	0	0	0.418100482032439	SS-HS 21d	0.404548533567001	SS	HS 21d
