"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"leadingEdge"	"group_id"	".before"	"project"	"strain"	"tissue"	"cell_type"	"control"	"treatment"
"HALLMARK_ADIPOGENESIS"	0.000606248580968433	0.0303124290484217	0.477270815362862	0.445758514309337	1.52733636983289	143	"Gphn;Lifr;Abca1;Pgm1;Sparcl1;Gpam;Atl2;Slc27a1;Mgll;Aco2;Me1;Sorbs1;Itsn1;Rreb1;Agpat3;Miga2;Bcl2l13;Angpt1;Itih5;Lpcat3;Cs;Rab34;Nkiras1;Gpd2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_NOTCH_SIGNALING"	0.00369983112249303	0.0862601354216222	0.431707695803346	0.720306174214117	1.76320675392016	22	"Notch2;Notch1;Lfng;Heyl;Tcf7l2;Arrb1;Prkca;Maml2;Notch3;Ppard"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_INFLAMMATORY_RESPONSE"	0.00517560812529733	0.0862601354216222	0.407017918923954	0.54462427835253	1.69875574304624	64	"Slc1a2;Slc4a4;Abca1;F3;Kif1b;Hrh1;Pcdh7;Nfkb1;Atp2a2;Il18;Irak2;Gabbr1;Slc7a2;Ldlr;Abi1;Il15ra;Eif2ak2;Sema4d"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_COAGULATION"	0.0124651376250594	0.145430831410653	0.380730400722792	0.521817256917862	1.55359518555685	52	"Cpq;Rapgef3;F3;Capn2;Htra1;Clu;Timp3;Fyn;Lrp1;Gng12;Klf7;Lamp2"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.0145430831410653	0.145430831410653	0.380730400722792	0.460540766493759	1.49747989028003	82	"Abca1;Vegfa;F3;Plpp3;Klf9;Smad3;Spsb1;Sat1;Sdc4;Nfkb1;Il18;Tnfaip8;Tiparp;Nfe2l2;Pmepa1;Ldlr;Trib1;Slc16a6"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.0262953186405806	0.194600112698789	0.352487857583619	0.520059781876819	1.5404647201555	48	"Scd2;Fads2;Actg1;Clu;Chka;Acss2;Ldlr;Cbs;Cyp51;Trp53inp1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_SPERMATOGENESIS"	0.0272440157778305	0.194600112698789	0.352487857583619	-0.619264113656158	-1.52665828533087	52	"Map7;Dcc;Scg5;Slc12a2;Grm8;Pebp1;Clvs1;Camk4;Snap91;Gad1;Pcsk1n;Gmcl1;Jam3;Mllt10;Chfr"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_IL2_STAT5_SIGNALING"	0.0315623520119441	0.197264700074651	0.321775918075361	0.435920184246884	1.41988781194367	84	"Lrig1;Rora;Prnp;Ptch1;Ccnd3;Syt11;Spred2;Itga6;St3gal4;Itgav;Cd81;Huwe1;Hipk2;Cyfip1;Itih5;Snx14"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_BILE_ACID_METABOLISM"	0.0415576774476849	0.230752123998923	0.321775918075361	0.461750422834995	1.39987556836253	57	"Abca1;Fads2;Nr3c2;Pfkm;Cyp7b1;Pipox;Idh2;Nedd4;Pex1;Bcar3;Pex13;Idh1;Fads1;Rxra;Abcd3;Pnpla8;Abcd2;Lonp2;Bbox1"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_MTORC1_SIGNALING"	0.0461504247997847	0.230752123998923	0.321775918075361	0.373285651094251	1.27188741434547	135	"Scd2;Acsl3;Pgm1;Acaca;Fads2;Atp2a2;Me1;Plod2;Hspa4;Gsk3b;Ldlr;Elovl5;Cyp51;Gsr;Idh1;Fads1;Add3;Sec11a;P4ha1;Tomm40;Ak4;Immt;Rpa1;Gmps;Slc9a3r1;Skap2;Sqle;Slc2a1;Psma3;Nfyc;Pdk1;Polr3g"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_APICAL_SURFACE"	0.0608552631578947	0.276614832535885	0.234392647294686	-0.693082641717568	-1.42530513108981	18	"App;Efna5;Ntng1;Crocc;Mal"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_KRAS_SIGNALING_UP"	0.120987654320988	0.504115226337449	0.13880510939114	-0.494435438809871	-1.27952479291871	88	"Hdac9;Map7;Kif5c;Ephb2;Scg5;Nin;Epb41l3;Akap12;Apod;Ptprr;Snap25;Scn1b;Snap91;Pcsk1n"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	0.151832460732984	0.58397100281917	0.266350657088526	0.365835410231729	1.18622680758537	87	"Ntm;Cadm1;Vegfa;Notch2;Htra1;Sat1;Sdc4;Col16a1;Itgav;Lama2;Gja1;Timp3;Lrp1;Fstl1;Cap2;Plod2;Fermt2;Cdh2;Pmepa1;Dab2;Fgf2;Fbln5"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
"HALLMARK_ANDROGEN_RESPONSE"	0.173913043478261	0.62111801242236	0.224966093540314	0.363912774030689	1.16056636560764	74	"Scd2;Mertk;Lifr;Acsl3;Ccnd3;Ank;Sat1;Itgav;Zmiz1;Tnfaip8;Bmpr1b;Pmepa1;Elovl5;Gsr"	"AngII | C57BL/6 | HYP | Astrocyte | Saline 3d | AngII 28d"	1	"AngII"	"C57BL/6"	"HYP"	"Astrocyte"	"Saline 3d"	"AngII 28d"
