source	target	value	LR_pair	model	tissue	strain	treatment	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
CM	Fibroblast	0.0511959910104434	Fgf1_Fgfr1	Salt-sensitive	LV	SS	LS	Fgf1_Fgfr1	FGF	Fgf1	Fgfr1				FGF inhibition receptor	PMC: 4393358	Secreted Signaling	Fgf1 - (Fgfr1)
CM	EC	0.0174918596197356	Angpt1_Tek	Salt-sensitive	LV	SS	LS	Angpt1_Tek	ANGPT	Angpt1	Tek				ANGPT inhibition receptor 1	PMID: 20651738	Secreted Signaling	Angpt1 - (Tek)
Neuronal	EC	0.0411006515615001	Sema3c_NRP1_PLXNA2	Salt-sensitive	LV	SS	LS	Sema3c_NRP1_PLXNA2	SEMA3	Sema3c	NRP1_PLXNA2					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_PLXNA2)
Neuronal	CM	0.0319792565535243	Sema3c_NRP1_PLXNA4	Salt-sensitive	LV	SS	LS	Sema3c_NRP1_PLXNA4	SEMA3	Sema3c	NRP1_PLXNA4					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_PLXNA4)
Neuronal	EC	0.0412582483915138	Sema3c_NRP1_PLXNA4	Salt-sensitive	LV	SS	LS	Sema3c_NRP1_PLXNA4	SEMA3	Sema3c	NRP1_PLXNA4					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_PLXNA4)
Neuronal	EC	0.0199506590603396	Sema3c_NRP2_PLXNA2	Salt-sensitive	LV	SS	LS	Sema3c_NRP2_PLXNA2	SEMA3	Sema3c	NRP2_PLXNA2					PMID: 27533782	Secreted Signaling	Sema3c - (NRP2_PLXNA2)
Neuronal	EC	0.0200288520226961	Sema3c_NRP2_PLXNA4	Salt-sensitive	LV	SS	LS	Sema3c_NRP2_PLXNA4	SEMA3	Sema3c	NRP2_PLXNA4					PMID: 27533782	Secreted Signaling	Sema3c - (NRP2_PLXNA4)
Neuronal	EC	0.0305025509583134	Sema3c_NRP1_NRP2	Salt-sensitive	LV	SS	LS	Sema3c_NRP1_NRP2	SEMA3	Sema3c	NRP1_NRP2					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_NRP2)
Neuronal	EC	0.0213844544468066	Sema3c_Plxnd1	Salt-sensitive	LV	SS	LS	Sema3c_Plxnd1	SEMA3	Sema3c	Plxnd1					PMID: 27533782	Secreted Signaling	Sema3c - (Plxnd1)
CM	Neuronal	0.107792546064057	Lama2_Sv2c	Salt-sensitive	LV	SS	LS	Lama2_Sv2c	LAMININ	Lama2	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama2 - (Sv2c)
Fibroblast	Neuronal	0.114282129173334	Lama2_Sv2c	Salt-sensitive	LV	SS	LS	Lama2_Sv2c	LAMININ	Lama2	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama2 - (Sv2c)
Neuronal	Neuronal	0.100815486042547	Lama2_Sv2c	Salt-sensitive	LV	SS	LS	Lama2_Sv2c	LAMININ	Lama2	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama2 - (Sv2c)
Pericyte	Neuronal	0.0727404085126864	Lama2_Sv2c	Salt-sensitive	LV	SS	LS	Lama2_Sv2c	LAMININ	Lama2	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama2 - (Sv2c)
CM	Neuronal	0.0169627649818754	Lama4_Sv2c	Salt-sensitive	LV	SS	LS	Lama4_Sv2c	LAMININ	Lama4	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama4 - (Sv2c)
EC	Neuronal	0.0204622403168547	Lama4_Sv2c	Salt-sensitive	LV	SS	LS	Lama4_Sv2c	LAMININ	Lama4	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama4 - (Sv2c)
Fibroblast	Neuronal	0.0571472776459099	Lama4_Sv2c	Salt-sensitive	LV	SS	LS	Lama4_Sv2c	LAMININ	Lama4	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama4 - (Sv2c)
Neuronal	Neuronal	0.0182232860927522	Lama4_Sv2c	Salt-sensitive	LV	SS	LS	Lama4_Sv2c	LAMININ	Lama4	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama4 - (Sv2c)
Pericyte	Neuronal	0.0219942188168684	Lama4_Sv2c	Salt-sensitive	LV	SS	LS	Lama4_Sv2c	LAMININ	Lama4	Sv2c					KEGG: mmu04512	ECM-Receptor	Lama4 - (Sv2c)
CM	Neuronal	0.047447698381596	Lamb2_Sv2c	Salt-sensitive	LV	SS	LS	Lamb2_Sv2c	LAMININ	Lamb2	Sv2c					KEGG: mmu04512	ECM-Receptor	Lamb2 - (Sv2c)
