seqnames	idx	name	FDR	MeanDiff	cell	species	control	treatment
204	deviations	204	Zfp740_204	9.49033830451837e-06	-0.0339659701293929	IC	C57BL/6	Saline 3d	AngII 3d
272	deviations	272	Elk3_272	2.49940487095613e-05	0.0432846156625612	IC	C57BL/6	Saline 3d	AngII 3d
276	deviations	276	Etv5_276	2.49940487095613e-05	0.0434683525154303	IC	C57BL/6	Saline 3d	AngII 3d
289	deviations	289	ENSMUSG00000044690_289	2.49940487095613e-05	0.0434683525154303	IC	C57BL/6	Saline 3d	AngII 3d
391	deviations	391	Tcfcp2l1_391	2.93153709046402e-05	-0.0394993900990143	IC	C57BL/6	Saline 3d	AngII 3d
836	deviations	836	Ubp1_836	2.93153709046402e-05	-0.0394993900990143	IC	C57BL/6	Saline 3d	AngII 3d
273	deviations	273	Gabpa_273	5.04820407815341e-05	0.0430601773227161	IC	C57BL/6	Saline 3d	AngII 3d
292	deviations	292	Gm4881_292	5.04820407815341e-05	0.0430601773227161	IC	C57BL/6	Saline 3d	AngII 3d
828	deviations	828	Ets2_828	5.04820407815341e-05	0.0430601773227161	IC	C57BL/6	Saline 3d	AngII 3d
274	deviations	274	Elk1_274	7.36620797608387e-05	0.0398469439361296	IC	C57BL/6	Saline 3d	AngII 3d
268	deviations	268	Etv1_268	0.000171611919274207	0.0416348424375997	IC	C57BL/6	Saline 3d	AngII 3d
153	deviations	153	Patz1_153	0.000351560616521555	-0.0150603254392671	IC	C57BL/6	Saline 3d	AngII 3d
278	deviations	278	Etv4_278	0.000351560616521555	0.0374496425945831	IC	C57BL/6	Saline 3d	AngII 3d
280	deviations	280	Elk4_280	0.000351560616521555	0.0373483347771847	IC	C57BL/6	Saline 3d	AngII 3d
290	deviations	290	Gm5454_290	0.000569126555580723	0.0385053741608804	IC	C57BL/6	Saline 3d	AngII 3d
291	deviations	291	Fev_291	0.000569126555580723	0.044625414615596	IC	C57BL/6	Saline 3d	AngII 3d
287	deviations	287	Erg_287	0.000688882343567998	0.0405160701251961	IC	C57BL/6	Saline 3d	AngII 3d
277	deviations	277	Fli1_277	0.000895099924474149	0.0396773826684366	IC	C57BL/6	Saline 3d	AngII 3d
215	deviations	215	Zscan4c_215	0.00149581851687843	-0.0303559784346435	IC	C57BL/6	Saline 3d	AngII 3d
232	deviations	232	Zscan4ps2_232	0.00149581851687843	-0.0303559784346435	IC	C57BL/6	Saline 3d	AngII 3d
233	deviations	233	Zscan4f_233	0.00149581851687843	-0.0303559784346435	IC	C57BL/6	Saline 3d	AngII 3d
284	deviations	284	Ets1_284	0.00279227824186614	0.0366806329360466	IC	C57BL/6	Saline 3d	AngII 3d
754	deviations	754	Stat3_754	0.00368123013249742	0.0291480857984478	IC	C57BL/6	Saline 3d	AngII 3d
116	deviations	116	Creb3l3_116	0.00378483072224634	-0.0376271832905243	IC	C57BL/6	Saline 3d	AngII 3d
217	deviations	217	Zkscan5_217	0.00378483072224634	0.0312262746684933	IC	C57BL/6	Saline 3d	AngII 3d
818	deviations	818	Glis3_818	0.00378483072224634	-0.0178943182099105	IC	C57BL/6	Saline 3d	AngII 3d
870	deviations	870	Creb3_870	0.00378483072224634	-0.0376271832905243	IC	C57BL/6	Saline 3d	AngII 3d
286	deviations	286	Elf2_286	0.00420894125163324	0.0289996479278575	IC	C57BL/6	Saline 3d	AngII 3d
128	deviations	128	X9430076C15Rik_128	0.00479749154776896	-0.0413912648996098	IC	C57BL/6	Saline 3d	AngII 3d
438	deviations	438	Hmbox1_438	0.00479749154776896	0.0559892123391539	IC	C57BL/6	Saline 3d	AngII 3d
262	deviations	262	E2f5_262	0.00578230681037258	0.0441427987577153	IC	C57BL/6	Saline 3d	AngII 3d
193	deviations	193	Zfp281_193	0.00637228685331361	-0.0128220942366263	IC	C57BL/6	Saline 3d	AngII 3d
283	deviations	283	Elf4_283	0.00637228685331361	0.0260902582212998	IC	C57BL/6	Saline 3d	AngII 3d
853	deviations	853	Trp63_853	0.00637228685331361	-0.0271695874360674	IC	C57BL/6	Saline 3d	AngII 3d
112	deviations	112	Atf2_112	0.00677779910720668	-0.0422634173319454	IC	C57BL/6	Saline 3d	AngII 3d
659	deviations	659	Nr2c2_659	0.00677779910720668	0.024734490650861	IC	C57BL/6	Saline 3d	AngII 3d
114	deviations	114	Jdp2_114	0.00737094280330957	-0.0394155532208397	IC	C57BL/6	Saline 3d	AngII 3d
316	deviations	316	Foxc2_316	0.00789335292508463	-0.0373990330044139	IC	C57BL/6	Saline 3d	AngII 3d
329	deviations	329	Foxs1_329	0.00789335292508463	-0.0373990330044139	IC	C57BL/6	Saline 3d	AngII 3d
267	deviations	267	Etv3_267	0.00799729932801935	0.0337755245893347	IC	C57BL/6	Saline 3d	AngII 3d
325	deviations	325	Foxb2_325	0.00824379061554101	-0.039190025642437	IC	C57BL/6	Saline 3d	AngII 3d
326	deviations	326	Foxb1_326	0.00824379061554101	-0.039190025642437	IC	C57BL/6	Saline 3d	AngII 3d
191	deviations	191	Sp6_191	0.00987646856672251	0.0112543850373928	IC	C57BL/6	Saline 3d	AngII 3d
238	deviations	238	Sp5_238	0.00987646856672251	0.0112543850373928	IC	C57BL/6	Saline 3d	AngII 3d
802	deviations	802	Sp3_802	0.00989752827949895	0.00996974877121286	IC	C57BL/6	Saline 3d	AngII 3d
174	deviations	174	Zbtb7b_174	0.0127541702747575	-0.0299454803328097	IC	C57BL/6	Saline 3d	AngII 3d
16	deviations	16	Zfp957_16	0.0136907737902129	0.0524757456315738	IC	C57BL/6	Saline 3d	AngII 3d
169	deviations	169	Zfp202_169	0.0139744039245134	-0.02120627409605	IC	C57BL/6	Saline 3d	AngII 3d
320	deviations	320	Foxc1_320	0.0147744153720157	-0.0368476540870793	IC	C57BL/6	Saline 3d	AngII 3d
393	deviations	393	Lhx2_393	0.0147744153720157	0.0596138034767684	IC	C57BL/6	Saline 3d	AngII 3d
124	deviations	124	Atf7_124	0.0150556388578107	-0.0321942517910343	IC	C57BL/6	Saline 3d	AngII 3d
881	deviations	881	Mixl1_881	0.0176890232904615	0.0494976684412393	IC	C57BL/6	Saline 3d	AngII 3d
407	deviations	407	Evx2_407	0.019724296013122	0.0470201126964275	IC	C57BL/6	Saline 3d	AngII 3d
668	deviations	668	Esr2_668	0.019724296013122	-0.0205439528428752	IC	C57BL/6	Saline 3d	AngII 3d
131	deviations	131	Nfil3_131	0.0203531320678427	-0.0656109754202545	IC	C57BL/6	Saline 3d	AngII 3d
279	deviations	279	Spdef_279	0.0228764426825399	0.0293742776244328	IC	C57BL/6	Saline 3d	AngII 3d
470	deviations	470	Hnf1a_470	0.0262471729163622	0.04786984864326	IC	C57BL/6	Saline 3d	AngII 3d
799	deviations	799	Snai2_799	0.0262471729163622	-0.0179109577964407	IC	C57BL/6	Saline 3d	AngII 3d
275	deviations	275	Ehf_275	0.0273690750706029	0.0228456181633141	IC	C57BL/6	Saline 3d	AngII 3d
422	deviations	422	Lhx1_422	0.0275529065249883	0.0510289348934054	IC	C57BL/6	Saline 3d	AngII 3d
519	deviations	519	Prrx2_519	0.0303189945091075	0.0555618515811344	IC	C57BL/6	Saline 3d	AngII 3d
839	deviations	839	Prrxl1_839	0.0303189945091075	0.0555618515811344	IC	C57BL/6	Saline 3d	AngII 3d
242	deviations	242	Nfya_242	0.0321530672583432	0.0224463161770715	IC	C57BL/6	Saline 3d	AngII 3d
282	deviations	282	Etv6_282	0.0321530672583432	0.0221441878844876	IC	C57BL/6	Saline 3d	AngII 3d
332	deviations	332	Gm5294_332	0.0321530672583432	-0.02022073478834	IC	C57BL/6	Saline 3d	AngII 3d
355	deviations	355	Foxl1_355	0.0321530672583432	-0.02022073478834	IC	C57BL/6	Saline 3d	AngII 3d
577	deviations	577	Cphx_577	0.0321530672583432	0.0353231359987859	IC	C57BL/6	Saline 3d	AngII 3d
308	deviations	308	Foxf2_308	0.0332890872858692	-0.0389852164409895	IC	C57BL/6	Saline 3d	AngII 3d
312	deviations	312	Foxf1a_312	0.0332890872858692	-0.0389852164409895	IC	C57BL/6	Saline 3d	AngII 3d
666	deviations	666	Esr1_666	0.0350144845719606	-0.0268754020112084	IC	C57BL/6	Saline 3d	AngII 3d
499	deviations	499	Nkx61_499	0.0360667147206529	0.0402733357990399	IC	C57BL/6	Saline 3d	AngII 3d
606	deviations	606	NP_606	0.0360667147206529	0.0402733357990399	IC	C57BL/6	Saline 3d	AngII 3d
295	deviations	295	Gm4881_295	0.0368389615218705	0.0232206616905919	IC	C57BL/6	Saline 3d	AngII 3d
140	deviations	140	Zscan4_140	0.0372102714180129	-0.0342824546189752	IC	C57BL/6	Saline 3d	AngII 3d
134	deviations	134	Crem_134	0.043022932260143	-0.0329522593862081	IC	C57BL/6	Saline 3d	AngII 3d
459	deviations	459	Lhx3_459	0.043022932260143	0.0475347237966838	IC	C57BL/6	Saline 3d	AngII 3d
20	deviations	20	Tcfap4_20	0.0435730355989342	-0.0265703017193707	IC	C57BL/6	Saline 3d	AngII 3d
487	deviations	487	Pou2f3_487	0.0435730355989342	0.0496819355659347	IC	C57BL/6	Saline 3d	AngII 3d
192	deviations	192	Rreb1_192	0.0441046700227138	-0.0114596680422256	IC	C57BL/6	Saline 3d	AngII 3d
288	deviations	288	Erf_288	0.0441046700227138	0.0291234898660061	IC	C57BL/6	Saline 3d	AngII 3d
139	deviations	139	Zeb1_139	0.0461666066992419	-0.0193966147445453	IC	C57BL/6	Saline 3d	AngII 3d
314	deviations	314	Foxo1_314	0.0488453293142032	-0.0321655039352841	IC	C57BL/6	Saline 3d	AngII 3d
306	deviations	306	Foxa1_306	0.0527339616190604	-0.030599876684397	IC	C57BL/6	Saline 3d	AngII 3d
757	deviations	757	Stat1_757	0.0533545908750809	0.0234654081099149	IC	C57BL/6	Saline 3d	AngII 3d
667	deviations	667	Nr2e1_667	0.0541031965806278	0.0342080198795265	IC	C57BL/6	Saline 3d	AngII 3d
353	deviations	353	Gm5294_353	0.055348179983372	0.0205117463018208	IC	C57BL/6	Saline 3d	AngII 3d
379	deviations	379	Foxl1_379	0.055348179983372	0.0205117463018208	IC	C57BL/6	Saline 3d	AngII 3d
109	deviations	109	Creb1_109	0.0580588552856778	-0.0293763654405787	IC	C57BL/6	Saline 3d	AngII 3d
209	deviations	209	Zfp161_209	0.0580588552856778	-0.0170239325903937	IC	C57BL/6	Saline 3d	AngII 3d
317	deviations	317	Foxi1_317	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
318	deviations	318	Foxi2_318	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
323	deviations	323	Foxi3_323	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
340	deviations	340	Gm5294_340	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
362	deviations	362	Foxl1_362	0.0580588552856778	-0.0204078340335926	IC	C57BL/6	Saline 3d	AngII 3d
