GroupID	Category	Term	Description	LogP	Log(q-value)	InTerm_InList	Genes	Symbols	cluster	category_mod	pathway
1_Member	GO Biological Processes	GO:0006119	oxidative phosphorylation	-2.75757986664639	-1.73486441007178	16/117	1337,1537,4713,4716,4722,4724,4731,6389,7384,7388,9377,23788,27089,29796,55967,374291	COX6A1,CYC1,NDUFB7,NDUFB10,NDUFS3,NDUFS4,NDUFV3,SDHA,UQCRC1,UQCRH,COX5A,MTCH2,UQCRQ,UQCR10,NDUFA12,NDUFS7	C1	GO	oxidative phosphorylation (GO)
1_Member	GO Biological Processes	GO:1901800	positive regulation of proteasomal protein catabolic process	-2.75757986664639	-1.73486441007178	16/117	1601,4092,4780,5071,9992,10221,10273,26263,28951,29978,51136,55294,55743,90865,144165,153090	DAB2,SMAD7,NFE2L2,PRKN,KCNE2,TRIB1,STUB1,FBXO22,TRIB2,UBQLN2,RNFT1,FBXW7,CHFR,IL33,PRICKLE1,DAB2IP	C1	GO	positive regulation of proteasomal protein catabolic process (GO)
1_Member	GO Biological Processes	GO:0050684	regulation of mRNA processing	-2.75617675863479	-1.73389494611209	18/139	677,1207,1655,3178,6733,10656,10658,10659,51341,51564,54715,56853,57703,58517,64506,79066,170506,202559	ZFP36L1,CLNS1A,DDX5,HNRNPA1,SRPK2,KHDRBS3,CELF1,CELF2,ZBTB7A,HDAC7,RBFOX1,CELF4,CWC22,RBM25,CPEB1,METTL16,DHX36,KHDRBS2	C1	GO	regulation of mRNA processing (GO)
1_Member	GO Biological Processes	GO:1903052	positive regulation of proteolysis involved in protein catabolic process	-2.75617675863479	-1.73389494611209	18/139	1601,4092,4780,5071,5747,9992,10221,10273,26263,28951,29978,51136,55294,55743,84456,90865,144165,153090	DAB2,SMAD7,NFE2L2,PRKN,PTK2,KCNE2,TRIB1,STUB1,FBXO22,TRIB2,UBQLN2,RNFT1,FBXW7,CHFR,L3MBTL3,IL33,PRICKLE1,DAB2IP	C1	GO	positive regulation of proteolysis involved in protein catabolic process (GO)
1_Member	GO Biological Processes	GO:0002040	sprouting angiogenesis	-2.73795129869037	-1.71588614592867	11/66	284,1012,2321,4851,6091,7422,8503,8829,9037,51176,57142	ANGPT1,CDH13,FLT1,NOTCH1,ROBO1,VEGFA,PIK3R3,NRP1,SEMA5A,LEF1,RTN4	C1	GO	sprouting angiogenesis (GO)
1_Member	GO Biological Processes	GO:0003407	neural retina development	-2.73281095188242	-1.71096235084892	13/86	493,682,4851,6096,6505,6597,6604,7042,23322,84440,120114,123016,348980	ATP2B4,BSG,NOTCH1,RORB,SLC1A1,SMARCA4,SMARCD3,TGFB2,RPGRIP1L,RAB11FIP4,FAT3,TTC8,HCN1	C1	GO	neural retina development (GO)
1_Member	GO Biological Processes	GO:2000779	regulation of double-strand break repair	-2.72981821902418	-1.70818606179376	19/151	3297,6597,6599,6604,7158,8110,9274,10933,22891,23028,26122,51149,55719,56893,56907,57223,57492,80314,84501	HSF1,SMARCA4,SMARCC1,SMARCD3,TP53BP1,DPF3,BCL7C,MORF4L1,ZNF365,KDM1A,EPC2,MRNIP,SLF2,UBQLN4,SPIRE1,PPP4R3B,ARID1B,EPC1,SPIRE2	C1	GO	regulation of double-strand break repair (GO)
1_Member	GO Biological Processes	GO:0016236	macroautophagy	-2.71933515558165	-1.69791933433673	28/258	488,987,1509,2033,5071,5305,8508,8897,8945,9706,9776,9927,10152,10254,11267,23092,23274,26235,29978,53349,57521,64798,79720,80700,81671,84557,143187,155382	ATP2A2,LRBA,CTSD,EP300,PRKN,PIP4K2A,NIPSNAP1,MTMR3,BTRC,ULK2,ATG13,MFN2,ABI2,STAM2,SNF8,ARHGAP26,CLEC16A,FBXL4,UBQLN2,ZFYVE1,RPTOR,DEPTOR,VPS37B,UBXN6,VMP1,MAP1LC3A,VTI1A,VPS37D	C1	GO	macroautophagy (GO)
1_Member	GO Biological Processes	GO:0010927	cellular component assembly involved in morphogenesis	-2.71690664124166	-1.69592316894425	17/129	20,71,287,1124,4205,5048,5339,5573,5629,7168,7273,10529,11076,23136,26011,64753,80206	ABCA2,ACTG1,ANK2,CHN2,MEF2A,PAFAH1B1,PLEC,PRKAR1A,PROX1,TPM1,TTN,NEBL,TPPP,EPB41L3,TENM4,CCDC136,FHOD3	C1	GO	cellular component assembly involved in morphogenesis (GO)
1_Member	GO Biological Processes	GO:0032989	cellular anatomical entity morphogenesis	-2.71690664124166	-1.69592316894425	17/129	20,71,287,1124,4205,5048,5339,5573,5629,7168,7273,10529,11076,23136,26011,64753,80206	ABCA2,ACTG1,ANK2,CHN2,MEF2A,PAFAH1B1,PLEC,PRKAR1A,PROX1,TPM1,TTN,NEBL,TPPP,EPB41L3,TENM4,CCDC136,FHOD3	C1	GO	cellular anatomical entity morphogenesis (GO)
