trait,SNPS,SNP_genes,mapped_genes,threshold,DEGs,DEG_SNPS,proportion_DEG,proportion_SNP,label
systolic_bp,3671,4994,3651,p.adj < 0.05,2703,3361,0.541249499399279,0.915554344865159,2703(54.12%)
systolic_bp,3671,4994,3651,p.adj < 0.05 & |log2(FC)| > 0.25,2600,3321,0.52062474969964,0.904658131299373,2600(52.06%)
systolic_bp,3671,4994,3651,p.adj < 0.05 & |log2(FC)| > 0.5,2275,3169,0.455546655987185,0.863252519749387,2275(45.55%)
systolic_bp,3671,4994,3651,p.adj < 0.05 & |log2(FC)| > 1,1713,2696,0.343011613936724,0.734404794333969,1713(34.3%)
diastolic_bp,2919,4480,3273,p.adj < 0.05,2440,2699,0.544642857142857,0.924631723192874,2440(54.46%)
diastolic_bp,2919,4480,3273,p.adj < 0.05 & |log2(FC)| > 0.25,2351,2662,0.524776785714286,0.911956149366221,2351(52.48%)
diastolic_bp,2919,4480,3273,p.adj < 0.05 & |log2(FC)| > 0.5,2069,2538,0.461830357142857,0.869475847893114,2069(46.18%)
diastolic_bp,2919,4480,3273,p.adj < 0.05 & |log2(FC)| > 1,1569,2150,0.350223214285714,0.736553614251456,1569(35.02%)
pulse_pressure,2117,3133,2272,p.adj < 0.05,1700,1931,0.542610916054899,0.912139820500709,1700(54.26%)
pulse_pressure,2117,3133,2272,p.adj < 0.05 & |log2(FC)| > 0.25,1641,1914,0.523779125438877,0.904109589041096,1641(52.38%)
pulse_pressure,2117,3133,2272,p.adj < 0.05 & |log2(FC)| > 0.5,1426,1821,0.455154803702522,0.86017949929145,1426(45.52%)
pulse_pressure,2117,3133,2272,p.adj < 0.05 & |log2(FC)| > 1,1072,1577,0.342164060006384,0.744922059518186,1072(34.22%)
essential_hypertension,24,86,56,p.adj < 0.05,33,23,0.383720930232558,0.958333333333333,33(38.37%)
essential_hypertension,24,86,56,p.adj < 0.05 & |log2(FC)| > 0.25,33,23,0.383720930232558,0.958333333333333,33(38.37%)
essential_hypertension,24,86,56,p.adj < 0.05 & |log2(FC)| > 0.5,31,23,0.36046511627907,0.958333333333333,31(36.05%)
essential_hypertension,24,86,56,p.adj < 0.05 & |log2(FC)| > 1,23,18,0.267441860465116,0.75,23(26.74%)
stroke,242,450,337,p.adj < 0.05,243,194,0.54,0.801652892561983,243(54%)
stroke,242,450,337,p.adj < 0.05 & |log2(FC)| > 0.25,235,191,0.522222222222222,0.789256198347107,235(52.22%)
stroke,242,450,337,p.adj < 0.05 & |log2(FC)| > 0.5,210,186,0.466666666666667,0.768595041322314,210(46.67%)
stroke,242,450,337,p.adj < 0.05 & |log2(FC)| > 1,164,161,0.364444444444444,0.665289256198347,164(36.44%)
CAD,1402,2078,1554,p.adj < 0.05,1143,1248,0.55004812319538,0.890156918687589,1143(55%)
CAD,1402,2078,1554,p.adj < 0.05 & |log2(FC)| > 0.25,1092,1234,0.525505293551492,0.880171184022825,1092(52.55%)
CAD,1402,2078,1554,p.adj < 0.05 & |log2(FC)| > 0.5,960,1182,0.461982675649663,0.843081312410842,960(46.2%)
CAD,1402,2078,1554,p.adj < 0.05 & |log2(FC)| > 1,705,988,0.339268527430221,0.704707560627675,705(33.93%)
albuminuria,97,214,161,p.adj < 0.05,117,87,0.546728971962617,0.896907216494845,117(54.67%)
albuminuria,97,214,161,p.adj < 0.05 & |log2(FC)| > 0.25,113,80,0.52803738317757,0.824742268041237,113(52.8%)
albuminuria,97,214,161,p.adj < 0.05 & |log2(FC)| > 0.5,100,76,0.467289719626168,0.783505154639175,100(46.73%)
albuminuria,97,214,161,p.adj < 0.05 & |log2(FC)| > 1,81,67,0.378504672897196,0.690721649484536,81(37.85%)
eGFR,2216,3214,2352,p.adj < 0.05,1765,2034,0.549159925326696,0.917870036101083,1765(54.92%)
eGFR,2216,3214,2352,p.adj < 0.05 & |log2(FC)| > 0.25,1692,2004,0.526446795270691,0.904332129963899,1692(52.64%)
eGFR,2216,3214,2352,p.adj < 0.05 & |log2(FC)| > 0.5,1469,1880,0.457062850031114,0.848375451263538,1469(45.71%)
eGFR,2216,3214,2352,p.adj < 0.05 & |log2(FC)| > 1,1103,1574,0.343186060983198,0.71028880866426,1103(34.32%)
BUN,485,777,627,p.adj < 0.05,451,435,0.58043758043758,0.896907216494845,451(58.04%)
BUN,485,777,627,p.adj < 0.05 & |log2(FC)| > 0.25,428,420,0.550836550836551,0.865979381443299,428(55.08%)
BUN,485,777,627,p.adj < 0.05 & |log2(FC)| > 0.5,381,379,0.49034749034749,0.781443298969072,381(49.03%)
BUN,485,777,627,p.adj < 0.05 & |log2(FC)| > 1,287,315,0.369369369369369,0.649484536082474,287(36.94%)
