"Gene.name"	"Human.gene.name"
"2901"	"Sod1"	"SOD1"
"3014"	"Edn1"	"EDN1"
"3018"	"Adrb1"	"ADRB1"
"3492"	"Adrb2"	"ADRB2"
"3687"	"Drd3"	"DRD3"
"3859"	"Nkx2-1"	"NKX2-1"
"3970"	"Cartpt"	"CARTPT"
"4214"	"Adamts16"	"ADAMTS16"
"4486"	"Ednra"	"EDNRA"
"4724"	"Ednrb"	"EDNRB"
"5248"	"Nedd4l"	"NEDD4L"
"5594"	"Fshr"	"FSHR"
"5832"	"Spx"	"SPX"
"6145"	"Pik3r1"	"PIK3R1"
"6284"	"Nppb"	"NPPB"
"6290"	"Nppa"	"NPPA"
"6458"	"Id2"	"ID2"
"6691"	"Agtrap"	"AGTRAP"
"7323"	"Ppara"	"PPARA"
"7635"	"Apln"	"APLN"
"7713"	"Acta2"	"ACTA2"
"7934"	"Erap1"	"ERAP1"
"7987"	"Nox1"	"NOX1"
"7994"	"Ephx2"	"EPHX2"
"8360"	"Agtr1a"	"AGTR1"
"8428"	"Serpinf2"	"SERPINF2"
"8523"	"Pmch"	"PMCH"
"8661"	"Gucy1a1"	"GUCY1A1"
"9612"	"Npr3"	"NPR3"
"10070"	"Ncf2"	"NCF2"
"10263"	"Col1a2"	"COL1A2"
"10446"	"Manf"	"MANF"
"10793"	"Chrna7"	"CHRFAM7A"
"10794"	"Chrna7"	"CHRNA7"
"10825"	"Lrp5"	"LRP5"
"11551"	"Adra1a"	"ADRA1A"
"11601"	"Corin"	"CORIN"
"12120"	"Gas6"	"GAS6"
"12248"	"Lvrn"	"LVRN"
"12898"	"Avpr1a"	"AVPR1A"
"12942"	"Klk10"	"KLK10"
"13050"	"Adm2"	"ADM2"
"13417"	"Klk7"	"KLK7"
"13988"	"Klk1b8"	"KLK1"
"14038"	"Klk1b1"	"KLK1"
"14082"	"Klk1b9"	"KLK1"
"14131"	"Klk1b11"	"KLK1"
"14152"	"Klk1b26"	"KLK1"
"14180"	"Klk1b27"	"KLK1"
"14236"	"Klk1b21"	"KLK1"
"14238"	"Ahr"	"AHR"
"14259"	"Klk1b22"	"KLK1"
"14359"	"Klk1b16"	"KLK1"
"14390"	"Klk1b24"	"KLK1"
"14404"	"Klk1b3"	"KLK1"
"14414"	"Klk1b4"	"KLK1"
"14419"	"Klk1b5"	"KLK1"
"14420"	"Klk1"	"KLK1"
"14521"	"Vegfc"	"VEGFC"
"14722"	"Slc2a5"	"SLC2A5"
"15384"	"G6pdx"	"G6PD"
"15794"	"Cyp11b1"	""
"15802"	"Npy"	"NPY"
"15812"	"Cyp11b2"	""
"16582"	"Pde4d"	"PDE4D"
"16596"	"Ntsr1"	"NTSR1"
"16949"	"Tacr1"	"TACR1"
"18138"	"Arhgap42"	"ARHGAP42"
"18409"	"Enpep"	"ENPEP"
